FullDescription,LocationNormalized,ContractTime,SalaryNormalized
"Counter Sales Person c****k dependent on experience Banchory Temporary MADE TO MEASURE Buildbase is one of the UK's fastest growing builders' merchants. All of our branches are long established and have been serving local tradespeople for many years. We believe in understanding their needs and providing them with a made to measure customer service. Joining a friendly team, your focus will be to provide a dependable service that combines excellent product knowledge with an eye for optimising branch sales and profit. An excellent communicator and naturally effective at building good working relationships with customers and colleagues alike, you should ideally have good sales and/or customer service experience. This full time role is initially to cover for maternity leave, but may lead to a permanent position. To apply, please email your CV by 8th Febuary to Graeme McAnally by clicking 'Apply Now' or call him on 01330820118.",Banchory,contract,16000
"Central London  Competitive Salary  Bonus & Benefits Summary Aegis Media Limited (AML) is looking to recruit a midlevel lawyer who would be dedicated to supporting AML's business in the UK as legal counsel. This is an exciting time for this dynamic business and the legal function is highly regarded and seen as key to the company's success. About the role The legal counsel will be joining a small team of three UK legal staff headed by the General Counsel for the UK. This is a very handson legal counsel role where the individual will be dealing with all aspects of legal work on behalf of AML and its subsidiaries. Core work will involve drafting and negotiating commercial contracts with clients, media owners and suppliers in relation to all aspects of traditional and digital media strategy, planning and buying, together with some digital creative production. In addition, the candidate would be expected to take responsibility for supporting the HR function in the provision of employment related advice. About the person The legal counsel will be an integral member of the UK legal team and have primary responsibility for delivering support and assistance to certain operational divisions of the UK business, including allocated agencies and supporting the HR function. The ideal candidate must:  Be commerciallyminded and have excellent communication and interpersonal skills to enable them to work with all levels of management and negotiate with external clients  Possess welldeveloped prioritisation skills given the likelihood of dealing with multiple projects at any one time  Be able to work autonomously and be a selfstarter The ideal candidate will:  Have at least four years post qualification experience in commercial law  Have experience in drafting and negotiating commercial contracts, with prior experience of independently advising clients in relation to commercial transactions  Have experience supporting an inhouse HR team or equivalent private practice experience in providing employment related advice, within the UK Because of the international and crosscultural nature of the Group and the legal team, fluency in a second language would be advantageous but not essential. About the organisation Aegis Media Limited is the UK subsidiary of Aegis Group plc. Aegis Group plc is one of the world's leading marketing communications groups. The Group focuses on helping clients communicate and build relationships with their consumers around their products and their brands. Services include media strategy, planning and buying, market insight and communications strategy, digital creative execution and website design and build, brand tracking and marketing analytics and econometric modelling. Aegis shares are traded on the London Stock Exchange under the symbol AEGS.L. Aegis Media is the world's leading independent media communications network. It employs over **** people in 70 countries around the world. All five of Aegis Media's major brands are worldleading marketing and communications businesses: • Carat is the world's largest independent media communications company, present in 82 countries across the world • Vizeum, the challenger media brand, has a pioneering approach to communications • Isobar is the world's first global digital network, and one of the largest • iProspect, a leading global digital performance marketing agency focusing on online search marketing • Posterscope is the outofhome sector leader, and the only truly global network, constantly pushing the technological boundaries All of the above brands exist in the UK as separate operating units. The UK operations have approximately **** employees. To apply for this position, please contact our exclusively retained consultant, Victoria Pomfret at Robert Walters. All third party applications will be forwarded to Robert Walters for consideration.",Gipsy Hill,permanent,47500
"We are recruiting for a dynamic organisation based near pontefract in Wakefield. They require an experienced marketing executive to join the team, and the position will involve varied marketing duties including: Developing and maintaining the company website Coordination of all social media advertising including Twitter, facebook Developing promotional material such as flyers, brochures and news letters Dealing with the press, press releases etc You will play an active role in raising awareness of the company brand and the position will offer a varied role with the opportunity to have input and come up with creative ideas for the team. The company offer a great salary and working enironment. In return they are looking for a degree educated person, ideally who has gained some marketing experience and has experience updating marketing content on the website and managing social media from a business marketing prospective. This position could suit a graduate who has gained some work experience with marketing and looking to develop a career within the marketing sector. The position is available to start immediately, so please email your cv if you are interested to Lucy now. This job was originally posted as www.totaljobs.com/JobSeeking/MarketingExecutive_job****",Wakefield,permanent,20000
"Composite Design Engineer required for a permanent role for Oxfordshire. Need relevant design tools such as Catia V**** Solidworks, Patran, laminate tools, etc. The business are based in the heart of the UK motorsport arena in the Oxfordshire area commutable from the likes of Oxford, Abingdon, Newbury, Berkshire, Berks etc. The business work with a number of high profile Formula One teams in designing and supplying them with glass fibre composites, body shell, and chassis parts. They have been working on a print to build basis but due to expansion they are now planning rapid growth into R&D and are setting up their own Engineering Department. To be considered for the role of Composite Design Engineer you will need to have a proven track record of designing composite materials for highend applications and be an experienced user of relevant CAD and simulation packages such as Catia (V****), Solidworks, Patran etc. For further information on this Composite Design Engineer role based on a permanent basis in the Oxfordshire area please contact Guy Brown on (Apply online only) (quote ref: GB****). View our latest jobs today at (url removed) and follow us on Facebook, Twitter & LinkedIn JAM Recruitment is acting as an employment agency with regards to this position",Abingdon,permanent,34000
"Working managing a team to maintain the Home by cleaning, dusting, vacuuming and polishing To create and maintain cleaning regimes (daily, weekly, periodically etc) for all areas of the Care Home (excluding those maintained by Kitchen Staff) in line with the Company's Policies and Procedures. Conduct random audit checks of all areas. Continuously assess the work of all staff members to ensure consistently high standards. Liase with the Care Manager regarding the effectiveness of cleaning products, and ensure their safe storage. To order cleaning products, and undertake monthly stock checks. Maintain agreed budgets. Prepare housekeeping rotas, and ensure staff adhere to these rotas. Liase with the Care Manager regarding COSHH training. Supervise and instruct junior and new staff members when required. Report to the Care Manager or Maintenance person, any faulty appliances, damaged furniture, equipment or any potential hazard. Be aware of of the Health Safety at Work Act",Northampton,,15360
"HCL Nursing are actively recruiting skilled registered general nurses to work in various hospitals within the Bradford area.You need experience in working within a hospital setting and be able to undertake duties commensurate with the role of a registered general nurse.HCL Nursing can offer you days/nights and weekend shifts at excellent hourly pay. In addition, we can offer; Free CRB Checks Free Uniform Free Training Free Blood Screening Rewards Scheme Referral SchemeDedicated team of friendly, experienced recruitment consultants that will go out of their way to offer you the work YOU WANT We also have an oncall service 7 days a week 365 days a year.",Bradford,permanent,39811
"HGV / Commercial vehicle  Customer service advisor My client based in North London is currently in the market looking for Service advisor to join their depot. The main duties for this position will be:  Making sure Customer satisfaction is met  Planning workshop capacity efficiently  Calculation & preparation of Invoicing, internal invoicing and claim handling.  Good technical / Product knowledge of HGV / Commercial vehicles. This position will initially be on a Contract position but after 6 months could go permanent with my client. Pay rate will be dependent on experience but will be in the range of **** p/h Excel Technical is THE specialist recruitment agency for the commercial vehicle industry. If you, or someone you know is looking for a new position in the Automotive industry then please contact us today. We are the market leaders in placing HGV, LGV, LCV Technicians, diesel fitters, plant fitters, PCV, PSV and Bus technicians, fitters, mechanics. service advisor or service adviser and truck or hgv or heavy vehicle or psv or pcv or commercial vehicle",Northamptonshire,contract,23000
"Break into Banking  .NET Developer (C/Agile/WinForms/WebForms/SQL)********K This is an outstanding opportunity for someone to join this leading bank. If you would like to work in a fast paced dynamic cutting edge team then this is the right place for you. You must have a strong development background/models/methods/processes and standards It is essential that you have the following: C.NET (C) SQL Server (****) Agile or SCRUM Winforms Webforms Full SDLC Object Oriented Programming It is nice to have: SSIS/SSRS/SSAS Oracle Sharepoint Security skills SCRUM/Agile Test driven development Intresting and high profile large projects, the candidate must have good communication skills, and understanding complex systems. If you enjoy working in a large team and would like a chance to really have autonomy over your projects then this bank will give you the chance to shine and grow. You will be building robust solutions and we are focused on the quality and good code. If you would like to push your career to the next level then please apply now Outstanding package on offerGreat City location. Easy travel from Surrey, Essex, Hertfordshire, Kent . Key skills: C,C,SQL .NET, C, .NET Developer, Engineer, Analyst, Agile, Scrum, SSIS, SSRS, SSAS, SDLC, Sharepoint, Visual Studio, SQL, C, SQL Server, Testing, IT Engineer, Developer, Agile, Scrum Master, Kanban, C guru, C blogger, Social media, Finance, Banking,",London,permanent,47500
"Registered Nurse (RGN) is required to work within the elderly nursing home environment. The nursing home is small in size, located in Tiverton, Devon and owned by a nursing home provider situated in the South West. My client provides general nursing to the elderly who are frail and have physical disabilities. Job Description: Full and part time hours available on day or night duty Medical Documentation Monitoring Patient Condition Carrying out Treatment Plans Assisting with Patient Needs Candidate Specification: Must be a qualified RGN Have a valid NMC pin number Satisfactory CRB and POVA completion upon successful application Have excellent communication and interpersonal skills Be committed and dedicated to the role. Salary: ****  **** per hour ongoing training If your experience matches please forward your CV immediately White Recruitment Ltd is acting as an Employment Agency in relation to this vacancy",Tiverton,,24500
"Can you drive effective analytical solutions for the European Corporate compensation and benefit programmes, ensuring compliance with best practice and applicable regulatory requirements? Can you implement processes, policies and programmes designed to effectively deliver salary management, pay tools, job evaluation, benchmarking, shortterm/longterm bonus programmes and effective benefit solutions? If so read on and apply if you are interested in joining this fantastic company within this capacity Essential Duties and Responsibilities;  Administer and analyse compensation programs such as merit, incentive plan administration.  Support the development and revision of incentive plans (annual and specialised) for the region to include regional offices, centres (worldwide) in accordance with the Company's incentive design principles.  Conduct analysis that support the overall C analyse results; and provide recommendations regarding policy/program administration and/or market competitiveness to management.  Deliver effective and efficient solutions on C analyse results and provide recommendations regarding policy/program revisions, rate structures, merit and incentive plan processing and administration in accordance with Company strategy and guidelines.  As required work to measure the effectiveness of benefit and/or compensation plans by creating and monitoring plan performance metrics.  This position has frequent interaction with HR Business Partners and managers to discuss job evaluations, market pricing, merit and incentive plan calculations and processing.  This position has frequent interaction with HR Shared Services to ensure timely and accurate processing of compensation plans, ensure compensation structures are accurately maintained and to ensure timely and accurate payment of compensation (bonus, merit, specialised incentives, etc.) Required Skills  Demonstrates effective verbal and written communication skills.  Strong analytical and statistical skills.  Demonstrated knowledge of compensation principles and practice.  Strong computer skills to include proficiency in Excel, Access, Word and PowerPoint.  Effective interpersonal/consensus building skills for the purpose of providing information to clients, vendors, senior management and staff.  Demonstrated knowledge of applicable laws affecting compensation policies and programs. The Adecco Group UK & Ireland is an equal opportunities employer and positively encourages applications from all eligible candidates regardless of sex, race, disability, age, sexual orientation, gender reassignment, religion or belief, marital status, or pregnancy and maternity. The Adecco Group UK & Ireland is an employment agency. Adecco is acting as an Employment Agency in relation to this vacancy",Uxbridge,,32000
"nbsp; My client is an small, but high profile international charity who are looking to looking to appoint a Head of Finance and Operations on a parttime basis. Reporting directly into the CEO, you will hold responsibility for all",London,permanent,45000
"Specialist Clinical Negligence Practice based in Manchester City Centre has a new opportunity for an ambitious Paralegal. They are looking for someone who already has at least six months of experience managing Claimant Clinical Negligence matters. You will have impressive academics, strong communication skills and impeccable attention to detail. The firm specialise in a niche area of Clinical Negligence and are looking to attract a candidate who is ambitious to progress within this area of work. They pride themselves on the highest quality of service for their clients and want to attract someone who will share their ethics. In accordance with The Conduct of Employment Agencies and Employment Businesses (Amendment) Regulations ****010, G2 Legal Limited acts as an employment agency and employment business for the supply of permanent and temporary staff.",Lancashire,permanent,20000
"Job description: • Answer contacts promptly and professionally • Log/Validate all contacts Call Handling Database • Resolve customer problems using the relevant tools and systems • Manage end to end all calls logged, providing regular updates to customers on call status • Invoke Escalation Procedures within defined time frames • Work to achieve individual and team goals • To comply/complete desk specific or adhoc request/tasks • Ensure Quality standards are adhered to in regards to both Cases & Calls. • Protect confidential and sensitive information and materials • Observe strict compliance to licensing, copyright and trademark legislation • Accomplish other duties as required • Proactively seek support from escalation team via. • Escalate tickets to escalation team for validation and further escalation. • Monitor ticket queues and handle tickets appropriately • Provide support to multiple desks Essential Competencies: • Norwegian(Native) or fluent • Basic understanding of IT software , hardware • Experience in communication with customers. • Ability to communicate effectively with different groups. • Ability to follow specific processes and procedures. • Demonstrates high level of customer satisfaction in previous positions • Ideally, candidates will have previous experience, but not essential. Benefits: Relocation assistance: Flight ticket and **** nights in a B&B booked and paid for • Free Shuttle bus service • Fun budget • Quarterly activities on every desk subsidised by CPL/HP. • Fun budget activities can range from GoKarting, Bowling, Cinema trips to drinks. • Gym Membership • StateoftheArt subsidised canteen • Massage If you're interested, apply to: Dagmaracmgirecruitment.com or call Dagmara at **** ****",UK,permanent,21000
"YEAR **** TEACHER ROLE Servoca Education is currently looking for a Year **** class teacher for a one form entry primary school based in South West London. Are you a fullyqualified Key Stage 2 Teacher with previous track record of teaching your own Year 5 class? Are you looking for a fulltime class position to start February 2013? This lovely primary school based in SW London is looking for a dynamic Year 5 Class Teacher to join this friendly and very supportive school. The school is looking for a passionate and dynamic Year 5 teacher to take on this very bright and high achieving class to start February half term or sooner. KS2 Teacher Teacher of Year 5 required One form entry school in South West London Contract with the option of going Permanent for the right candidate Main or Upper Pay Scale Fantastic location, great facilities In return you will get the support of a very good and friendly SLT as well as the assistance of a Level 3 trained Teaching Assistant. If you would like to be considered for this role  please send your CV to us Today",Surrey,contract,34800
"REGISTERED GENERAL NURSES  RGN  BOURNEMOUTH FOR BEAUTIFUL NURSING HOME  **** per hour Eclypse Recruitment are looking to recruit a full time Registered General Nurses for a beautiful elderly nursing home in Bournemouth, Dorset. The nursing home is part of a wellrespected group of nursing homes which cater mainly for elderly frail residents and dementia sufferers. The home we are recruiting for in Bournemouth mainly caters for elderly frail residents. We are looking for a Staff Nurse to work in this elderly nursing home for the following duties: Writing care plans Giving medication Wound dressing Giving injections Building good relationships with the residents Our client is keen to recruit a nurse with great personality to join the fantastic team that already exist there. Unfortunately, we can't consider newly qualified staff nurses for this post  we can only considered general nurses who have a minimum of 12 months experience. All applicants must be: 1st Level Qualified RGN Registered with the NMC Be dedicated to work within a nursing home The salary is fantastic with the hourly rate at **** per hour which makes a salary of **** (this is based on working 3 shifts a week your salary would increase if you took on more hours). If you are a Staff Nurse in Bournemouth then contact Becky at Eclypse today",Bournemouth,,24500
"Salary: ****k  ****k pa plus benefits Location:Leeds Job Type:Permanent Company This is a fantastic opportunity to join the one of the UK s fastest growing technology companies. With many high street names as clients, and industry leading experience and vision, the company is expecting to continue its rapid growth and expand the existing team delivering leadingedge, highavailability solutions to the private and public sector using its established Computing environment. Role Successful candidates will have a strong background in supporting Microsoft server infrastructures, primarily **** R2 and be confident in their abilities to troubleshoot often complex and challenging problems, knowledge of terminal services would be advantageous as would any experience of supporting Linux servers. As well as being technically capable the successful candidate will have strong customer service support skills responsible for the resolution of customer issues within the company s customer base, both directly and indirectly. A good understanding of ITIL / Service Management processes and reporting is also essential. Ideally you will have experience in the enterprise customer arena, with excellent customer engagement skills. Working within our Operations and Support team, the role will involve 2nd or 3rd line support within our existing young team across a challenging and diverse base of cloud computing clients spanning all industry sectors. Experience of VMware vSphere, SCOM, HyperV, SNMP, Cisco networking, HP or Dell SAN storage is also beneficial. Candidate The successful candidate is expected to have: Excellent written and verbal communication skills Extensive, indepth knowledge of multiple technologies Microsoft and ITIL certification Good TCP/IP understanding At least 5 years industry experience Candidate with experience of VMware would be useful, but not essential",Leeds,permanent,25000
"A reputable and fast growing asbestos company that has regionalized offices and who provide professional and quality asbestos and environmental services to a portfolio of clients nationwide is actively looking for an Asbestos Surveyor/Analyst to join their busy team to cover a mixture of contracts mainly in and around the South Yorkshire. The applicant must hold the P**** P**** and P**** qualifications and must have previous practical experience in asbestos surveying and airmonitoring/airtesting and within the asbestos arena. The main responsibilities will encompass: Carrying out asbestos **** stage clearances, smoke, background, leak reassurance, visual, reoccupation and personal air testing. Carrying out Management, Refurbishment/Demolition surveys on various properties  commercial and industrial. Overseeing asbestos contractors on site and ensuring that they adhere to the Health Safety procedures with regards to asbestos. Producing comprehensive asbestos reports as and when required. Establishing and maintaining good relationship with clients. Overall, the successful candidate be an allrounder, flexible, have good ethic, have good communication skills, both written and verbal, be conversant with the Health Safety procedures in relation to asbestos and have the ability to work independently and as part of a team. This is a good opportunity to join a highly successful company that offers a competitive salary, company vehicle and other benefits. Future Select specialize in recruiting staff in the asbestos industry and currently have many clients looking for candidates. If you have experience in the asbestos market as an Asbestos Surveyor/Asbestos Analyst, Asbestos Lab Analyst/Administration, Asbestos Project Manager or Asbestos Technical/Quality Management, Asbestos Training or Asbestos Sales Management through to Asbestos Sales/Management /Director levels, please forward your CV or if you have the P**** P**** P**** P**** P**** or the S****/CCP qualifications, please do not hesitate to call us, as we would be interested in talking to you. We have vacancies for Asbestos Surveyors, Lead Asbestos Surveyors, Asbestos Analysts, Asbestos Project Managers, Consultants, Asbestos Administrators, Asbestos Laboratory Technicians, Asbestos Project Managers/Technical/Quality Managers/Training through to Sales/Senior Management and Director level. Salaries ranging ****k. We are recruiting for Asbestos clients in all regions throughout the UK. We are inundated with applications, will endeavour to get back in touch, however if you have applied to Future Select and you have not heard from us after a week, on this occasion, you will not have been successful. Your details will be saved on our system and you will be contacted in the future if a vacancy matches your skills. This job was originally posted as www.totaljobs.com/JobSeeking/AsbestosSurveyorAnalystP****P****P****SouthYorkshire_job****",South Yorkshire,permanent,28000
